,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),Services (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Losses during transport - total (Million cubic metres),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Desalinated water (Million cubic metres),Fresh groundwater (Million cubic metres),Non fresh water sources (Million cubic metres),Fresh surface water (Million cubic metres),Total (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Total wastewater discharged - without treatment (Tonnes of O2 per day),Total wastewater discharged - without treatment (Million cubic metres),Total wastewater discharged - without treatment (Tonnes per day),Total discharges of wastewater treatment plants (urban and other) (Tonnes of O2 per day),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - private households (Tonnes per day),Total discharges to inland waters (Tonnes of O2 per day),Total discharges to inland waters (Million cubic metres),Total discharges to inland waters (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Urban and industrial wastewater treatment - total inflow (Tonnes of O2 per day),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,11.58,78.82,23.32,276.24,165.87,111.16600000000001,5.0,281.0,231.0,172.33333333333334,32.75,3.13,79.55,58.78,77.125,0.0,123.82,0.0,70.4675,32.75,2.67,0.09,0.0,39.26,76.21,2.9,1.33,17.24,0.35,3.85,252.63,7.82,134.09,85.24,16.11,5.18,269.87,8.17,1.52,108.34,0.11,170.55,252.63,18.76,177.54,269.87,19.12,8.148888888888887,59.55444444444444,148.01333333333332,45.57333333333333,74.66000000000001,1.0633333333333335,0.03333333333333333,20.39333333333333,100.87,9.1,0.0,12.7,57.2,2689.91,79.0,
2007,14.58,81.6,26.25,295.34,175.92,118.73800000000001,7.0,323.0,250.0,193.33333333333334,39.83,6.39,77.45,72.39,80.66749999999999,0.0,121.155,0.0,78.50999999999999,39.83,2.65,0.09,0.03,31.11,77.95,2.9,1.14,15.39,0.27,3.2,232.92,6.76,133.51,87.42,15.36,4.34,248.31,7.03,1.48,82.84,0.11,162.64,232.92,18.11,168.75,248.31,18.4,7.663333333333333,56.53555555555555,136.2388888888889,48.72,80.11,0.96,0.05333333333333334,27.08666666666667,102.64999999999999,8.8,0.0,14.9,58.4,2745.44,82.0,
2008,14.69,80.5,26.86,298.72,176.68,119.49000000000001,4.0,313.0,261.0,192.66666666666666,28.19,3.6350000000000002,77.53,78.6,82.235,0.0,81.97,0.0,80.99,28.19,1.41,0.14,0.01,31.46,80.29,2.74,1.34,17.33,0.26,3.36,217.67,6.3,128.43,92.92,14.39,4.7,235.0,6.56,4.93,61.65,0.55,161.37,217.67,17.54,166.23,235.0,17.69,7.337777777777778,55.91444444444445,128.63,48.92000000000001,79.64333333333333,1.02,0.02666666666666667,16.833333333333336,112.72333333333334,9.0,0.0,11.7,63.1,2757.24,83.7,
2009,21.77,83.32,26.48,301.95,170.38,120.78,5.0,318.0,274.0,199.0,24.39,13.6,76.37,78.8,82.195,0.0,120.79499999999999,0.0,83.0825,24.39,0.15,0.14,0.0,23.03,78.04,2.64,1.28,21.55,0.19,3.11,228.16,6.18,142.67,96.19,14.93,4.39,249.71,6.37,1.95,75.34,0.08,163.91,228.16,17.62,167.8,249.71,17.65,7.295555555555556,56.47666666666666,136.33333333333334,48.88999999999999,81.52333333333333,0.9966666666666667,0.03333333333333333,16.63333333333333,114.74333333333333,8.6,0.0,11.0,65.8,2764.68,85.5,
