,Households (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,40548.0
2001,,,,,,,,,,,,,,,,,,,,,,,,,,57102.0
2002,,,,,,,,,,,,,,,,,,,,,,,,,,52452.0
2003,,,,,,,,,,,,,,,,,,,,,,,,,,43340.0
2004,,,,,,,,,,,,,,,,,,,,,,,,,,63798.0
2005,,,,,,,,,,,,,,,,,,,,,,,,,,69378.0
2006,,,,,,,,709.2,,17988.77,,9348.985,,,,,,,,,,,,,,54220.0
2007,375.66,375.66,,,,,,333.305,,,376.37,290.24,,,,,,,30.2,3.4,16.7,28.3,21.5,10055.78,69.8,58400.0
2008,361.8,361.8,12.0,279.0,354.0,215.0,,320.37,,,360.93,279.81,183.07666666666668,238.01,8.766666666666666,1.1033333333333333,131.73666666666668,297.0133333333334,29.0,3.3,17.7,26.7,23.3,10038.19,71.0,56451.0
2009,360.28,360.28,14.0,283.0,365.0,220.66666666666666,,316.25,3887.03,,368.2,2075.665,179.33666666666667,273.58666666666664,7.739999999999999,1.02,136.48,323.16333333333336,28.0,3.3,16.7,27.4,24.7,10022.65,72.0,58311.0
2010,341.079,341.079,14.0,281.0,368.0,221.0,24.567,298.8,3905.83,497.759,284.4843333333333,1398.9566666666667,188.67666666666665,272.11333333333334,7.1066666666666665,0.9700000000000001,129.33333333333334,337.5933333333333,27.7,0.6,2.3,36.4,33.1,10000.02,72.3,92535.0
2011,339.94,339.94,,,,,55.2,299.95,3794.42,502.97,287.02166666666665,1382.2083333333333,,,,,,,27.2,0.4,1.4,33.9,37.2,9971.73,72.8,39153.0
2012,341.572,341.572,,,,,82.156,299.2,,502.605,288.84933333333333,199.3845,,,,,,,26.0,1.1,0.1,18.9,53.9,9920.4,74.0,45384.0
2013,331.192,331.192,,,,,73.81549999999999,294.69550000000004,,496.035,282.678,192.5115,,,,,,,25.0,2.3,0.1,16.4,56.2,9893.1,75.0,62031.0
2014,325.614,325.614,,,,,49.0195,287.2835,,475.595,274.53766666666667,162.294,,,,,,,,,,,,,,70680.0
2015,335.893,335.893,,,,,55.019,302.5435,,491.655,285.44300000000004,175.2255,,,,,,,,,,,,,,51429.0
