,Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Total wastewater discharged - without treatment (Tonnes of O2 per day),Total wastewater discharged - without treatment (Million cubic metres),Total wastewater discharged - without treatment (Tonnes per day),Total discharges of wastewater treatment plants (urban and other) (Tonnes of O2 per day),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Generation of wastewater - construction (Tonnes of O2 per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - construction (Tonnes per day),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - private households (Tonnes per day),Generation of wastewater - mining and quarrying (Tonnes of O2 per day),Generation of wastewater - mining and quarrying (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes per day),Total discharges to inland waters (Tonnes of O2 per day),Total discharges to inland waters (Million cubic metres),Total discharges to inland waters (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Urban and industrial wastewater treatment - total inflow (Tonnes of O2 per day),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Tonnes of O2 per day),Generation of wastewater - manufacturing industries (Million cubic metres),Generation of wastewater - manufacturing industries (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,508.0,1304.5,3349.0,3983.5,966.0,3125.25,12.3,149.0,5.4,39.8,4294.4,14.3,,,,,,,0.1,3.3,0.0,,,,1.1,142.2,0.2,,,,32.9,311.0,9.5,,,,230.7,6733.4,80.2,28.1,482.8,10.5,17.15714285714286,49.28571428571429,1730.8714285714284,,,,,,,,,,,,,102000.0
2001,,,,,748.0,1231.0,2911.0,3671.5,876.0,2928.0,9.4,117.0,4.6,38.1,3719.8,6.6,,,,,,,0.1,3.1,0.0,,,,0.9,100.1,0.1,,,,16.7,140.4,4.9,,,,218.0,6021.8,68.0,30.2,447.5,5.8,12.857142857142856,44.771428571428565,1507.1000000000001,,,,,,,,,,,,,170000.0
2002,,,,,783.0,1112.5,2910.0,3619.5,759.0,2909.75,9.4,80.9,5.7,57.2,3695.0,10.1,,,,,,,0.1,3.0,0.0,,,,1.3,96.3,0.1,,,,12.6,124.0,3.6,,,,241.8,5810.3,87.2,43.2,375.4,9.1,16.54285714285714,52.22857142857144,1454.9857142857143,,,,,,,,,,,,,155000.0
2003,,,,,910.0,994.5,2382.0,3250.0,711.5,2589.5,9.0,42.0,4.8,55.6,3400.0,14.8,,,,,,,,3.4,,,,,0.7,97.1,0.0,,,,9.2,107.5,2.3,,,,281.0,5320.0,77.3,38.3,333.6,9.0,18.03333333333333,65.63333333333334,1329.0857142857144,,,,,,,,,,,,,131000.0
2004,,,,,371.0,882.5,2606.0,2925.0,665.5,2315.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167000.0
2005,,,,,158.3,843.0,2224.0,2650.5,628.5,2028.075,10.7,3.9,14.8,106.6,3126.0,14.8,,,,,,,0.3,6.4,0.0,,635.0,34.1,0.2,97.6,0.3,178.0,4480.0,64.9,153.0,438.0,11.6,,,,445.3,4528.0,81.1,,,,27.7,127.72857142857143,1664.3625,,,,,,,,,,,,,206000.0
2006,,,,,174.0,771.5,2431.0,2665.0,564.0,2087.5,37.3,3.7,11.4,325.5,2952.4,32.4,,,,,,,0.3,3.7,0.0,439.9,907.6,36.5,0.0,80.1,,268.3,3937.4,,98.8,124.4,6.6,,,,864.1,3984.4,75.5,,,,27.066666666666666,254.275,1499.2125,,,,,,,,,,,,,162500.0
2007,,,,,,796.45,3050.4,2966.85,427.5,3240.6666666666665,32.0,3.5,,,3855.8,,,,,,,,0.2,3.0,,410.0,853.5,,0.2,65.5,,332.4,484.7,,156.3,215.4,,,,,920.1,4924.6,,,,,,264.4571428571429,1300.7500000000002,,,,,,,,,,,,,174000.0
2008,,,,,496.93,121.31,2202.3,3519.66,,1585.05,0.02,0.02,,31.09,2477.9,14.2,27.5,2509.91,16.71,18.39,76.97,0.54,,0.48,,8.58,39.34,2.5,,0.44,0.13,45.89,2586.88,17.25,4.22,12.27,0.86,,,,43.89,2529.51,17.56,,,,8.71875,22.447499999999998,1023.3720000000001,,,,,,,,,,,,,
2009,,,,,603.3,122.67,2200.8,3609.09,,1633.9650000000001,,,,29.47,2012.57,17.59,31.22,2056.94,12.51,15.16,14.84,6.63,,,,16.59,53.03,1.55,,,,46.37,2071.78,19.14,0.52,6.17,0.02,,,,46.58,2071.78,19.17,,,,10.944285714285716,26.55857142857143,1183.8728571428571,,,,,,,,,,,,,
