,Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Total gross abstraction (Million cubic metres),Desalinated water (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Generation of wastewater - construction (Tonnes of O2 per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - construction (Tonnes per day),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - private households (Tonnes per day),Generation of wastewater - mining and quarrying (Tonnes of O2 per day),Generation of wastewater - mining and quarrying (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Tonnes of O2 per day),Generation of wastewater - manufacturing industries (Million cubic metres),Generation of wastewater - manufacturing industries (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,19.71,173.94,337.74666666666667,0.0,336.605,235.87333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,11.01,167.61499999999998,297.80333333333334,0.0,326.62,195.47000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,15.85,163.755,250.25,0.0,318.575,152.32000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,9.42,157.42000000000002,226.0466666666667,0.0,308.32500000000005,128.58333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,9.04,156.955,218.3166666666667,0.0,304.9,122.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,12.32,155.71,206.3066666666667,0.0,302.815,112.34333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5.86,151.90499999999997,197.23333333333335,0.0,296.465,102.81333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10.13,148.60500000000002,194.64000000000001,0.0,289.32,104.20666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,30131.12
2012,18.14,150.36,218.81000000000003,0.0,293.095,129.7,0.062220274,0.142101,0.010141904,78.53411932,251.2324324,3.520026751,0.050613742,0.06304831,0.0,183.6090293,317.7348643,33.61450805,0.165565951,18.440726,0.001777247,1.476338118,8.6900102,0.068171652,263.681707,577.7994079,37.21284836,78.19681811,150.9766361,3.501553044,9.741128375999999,75.72205147687501,165.63490327625,33280.57
2013,13.95,144.94,209.59,0.0,283.815,121.65666666666665,0.0,0.10669,0.0,64.64942215,285.9456244,1.504085882,0.0,0.0,0.0,189.2051364,381.500471,33.80279251,0.161550318,34.6356582,0.001461409,1.310632782,9.4956566,0.076012727,255.1651914,677.048442,35.38289112,64.3727144,175.621849,1.502624473,9.033733515125,71.85808093125,195.5442989,40597.0
2014,6.825,140.145,183.57666666666668,0.0,185.20666666666668,96.35000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,44691.0
2015,10.785,141.645,188.06333333333336,0.0,187.04999999999998,102.63333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
