,UID,versionId,beginLifeSpanVersion,spatialUnitIdentifier,spatialUnitIdentifierScheme,observedProperty,phenomenonTimePeriod,resultObservedVolume,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
520,521,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,DSW_TOTAL,2009,0.0,,,A,
521,522,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,DSW_TOTAL,2010,0.0,,,A,
522,523,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,DSW_TOTAL,2011,0.0,,,A,
523,524,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,DSW_TOTAL,2012,0.0,,,A,
524,525,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,EXP,2010,0.0,,,A,
525,526,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,EXP,2011,0.0,,,A,
526,527,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,EXP,2012,0.0,,,A,
527,528,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,IMP,2010,0.0,,,A,
528,529,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,IMP,2011,0.0,,,A,
529,530,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,IMP,2012,0.0,,,A,
530,531,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,NFW_TOTAL,2007,0.0,,,A,
531,532,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,NFW_TOTAL,2012,0.0,,,A,
532,533,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,RECL_TOTAL,2012,0.0,,,A,
533,534,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,RUW_TOTAL,2010,0.0,,,A,
534,535,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,RUW_TOTAL,2011,0.0,,,A,
535,536,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_AdditionalWaterResources/0.html,2015-11-30,CH,countryCode,RUW_TOTAL,2012,0.0,,,A,
