,UID,versionId,beginLifeSpanVersion,spatialUnitIdentifier,spatialUnitIdentifierScheme,observedProperty,phenomenonTimePeriod,resultObservedVolume,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
0,1,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW,1999,1114.91,,,A,
1,2,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_DOM,1999,45.42,,,A,
2,3,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_A,1999,100.0,,,A,
3,4,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_A011_A013,1999,67.5,,,A,
4,5,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_C,1999,348.85,,,A,
5,6,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_C,2008,396.74,,,A,
6,7,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_C_CL,2008,302.17,,,A,
7,8,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_D_CL,1999,4.27,,,A,
8,9,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_D_CL,2008,4.0,,,A,
9,10,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_E36,1999,616.36,,,A,
10,11,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_GW_NACE_E36,2008,607.36,,,A,
11,12,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW,1999,2553.03,,,A,
12,13,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_DOM,1999,0.0,,,A,
13,14,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_C,1999,930.51,,,A,
14,15,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_C,2008,1260.35,,,A,
15,16,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_C_CL,2008,1186.1,,,A,
16,17,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_D_CL,1999,1615.63,,,A,
17,18,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_E36,1999,6.89,,,A,
18,19,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,AT,countryCode,ABS_SW_NACE_E36,2008,0.58,,,A,
202,203,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW,2005,447.15,,,A,
203,204,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW_NACE_A,2005,7.35,,,A,
204,205,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW_NACE_C,2005,82.7,,,A,
205,206,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW_NACE_D_CL,2005,6.85,,,A,
206,207,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW_NACE_E36,2005,333.25,,,A,
207,208,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_GW_OTHER,2005,17.01,,,A,
208,209,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW,2005,5569.55,,,A,
209,210,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW_NACE_A,2005,694.11,,,A,
210,211,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW_NACE_C,2005,140.69,,,A,
211,212,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW_NACE_D_CL,2005,4038.22,,,A,
212,213,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW_NACE_E36,2005,648.08,,,A,
213,214,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,BG,countryCode,ABS_SW_OTHER,2005,48.45,,,A,
2604,2605,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,CH,countryCode,ABS_GW,2006,1305.0,,,A,
2605,2606,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,CH,countryCode,ABS_GW,2012,874.0,,,A,
2606,2607,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterAbstraction/0.html,2015-11-30,CH,countryCode,ABS_GW_DOM,2006,39.0,,,A,
