,UID,versionId,beginLifeSpanVersion,spatialUnitIdentifier,spatialUnitIdentifierScheme,observedProperty,phenomenonTimePeriod,resultObservedVolume,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
2,3,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_DOM,2006,490.0,,,A,
3,4,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_DOM,2012,465.0,,,A,
4,5,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_A,2006,411.0,,,A,
5,6,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_A,2012,199.0,,,A,
6,7,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_A011_A013,2006,182.0,,,A,
7,8,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_A011_A013,2012,139.0,,,A,
8,9,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_B,2006,16.0,,,A,
9,10,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_B,2012,11.0,,,A,
10,11,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_C,2006,541.0,,,A,
11,12,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_C,2012,663.0,,,A,
12,13,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_C_CL,2012,0.0,,,A,
13,14,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_D,2012,37.4,,,A,
14,15,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_D_CL,2006,39.0,,,A,
15,16,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_D_CL,2012,37.4,,,A,
16,17,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_I,2006,391.0,,,A,
17,18,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_NACE_I,2012,602.0,,,A,
18,19,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_OTHER,2006,8.0,,,A,
19,20,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,CH,countryCode,WU_OTHER,2012,5.34,,,A,
676,708,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_DOM,2008,89.0,,,A,
677,709,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_DOM,2009,85.0,,,A,
678,710,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_DOM,2010,85.0,,,A,
679,711,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_DOM,2011,83.4,,,A,
680,712,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_DOM,2012,84.8,,,A,
681,713,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A,2008,4.33,,,A,
682,714,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A,2009,3.46,,,A,
683,715,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A,2010,2.8,,,A,
684,716,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A,2011,4.7,,,A,
685,717,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A,2012,4.1,,,A,
686,718,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A011_A013,2008,2.33,,,A,
687,719,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A011_A013,2009,2.46,,,A,
688,720,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A011_A013,2010,1.8,,,A,
689,721,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A011_A013,2011,3.1,,,A,
690,722,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_A011_A013,2012,2.2,,,A,
691,723,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_B,2008,1.0,,,A,
692,724,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_B,2009,1.0,,,A,
693,725,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_B,2010,1.2,,,A,
694,726,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_B,2011,0.84,,,A,
695,727,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE3_WaterUse/0.html,2015-11-30,SI,countryCode,WU_NACE_B,2012,0.81,,,A,
