"TIME","RBD","NACE_R2","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2000","Black Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","East Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2000","West Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2000","Danube - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Dyje / Thaya","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Morava / March (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Labe / Elbe - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Upper Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Berounka","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Lower Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Ohre and lower Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Odra / Oder - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Rhine - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Lake Constance/Alpine Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Hochrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Oberrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Neckar","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Main","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Moselle-Saar (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Middle Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Lower Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Rhine delta","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Ems - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Weser - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Werra","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Fulda-Diemel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Aller","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Leine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Tide-Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Elbe / Labe - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Mulde-Elbe-Schwarze Elster","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Mittelelbe-Elde","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Havel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Tide-Elbe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Oder / Odra - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Maas / Meuse - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Eider - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Schlei-Trave - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Warnow-Peene - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Croatia","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Drava and Danube sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Sava sub-basin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Adriatic - RBD (HR)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Cyprus","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Cyprus - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Moselle - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Meuse / Maas - RBD (LU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Hungary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Balaton","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Dráva / Drau (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Tisza / Tysa (HU)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Malta","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Malta - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2000","Maas / Meuse - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Rhine - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Schelde / Escaut - RBD (NL)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Minho and Lima - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Cavado, Ave and Leca - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Douro - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Vouga, Mondego and Lis - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Tagus and Western Basins - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Sado and Mira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Guadiana - RBD (PT)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Algarve Basins - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Azores - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Madeira - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Romania","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (RO)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Banat","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Siret","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Prut-Barlad","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Jiu","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Olt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Arges-Vedea","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Ialomita-Buzau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Dobrogea","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Mures","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Crisuri","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Somes-Tisa (RO)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Bothnian Bay - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Bothnian Sea - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","North Baltic Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","South Baltic Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Skagerrak and Kattegat - RBD (SE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Rhine - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Rhône - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Po - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Danube - RBD (CH)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2001","Scheldt/Escaut - RBD (BE-Brussels)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","Schelde/Escaut - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Maas/Meuse - RBD (BE-Flemish region)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99",""
"2001","Black Sea - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2001","East Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98",""
"2001","West Aegean - RBD (BG)","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2001","Danube - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Dyje / Thaya","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Morava / March (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Labe / Elbe - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Upper and middle Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Upper Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Berounka","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Lower Vltava / Moldau","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Ohre and lower Labe / Elbe (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Odra / Oder - RBD (CZ)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Danube - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Rhine - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Lake Constance/Alpine Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Hochrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Oberrhein","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Neckar","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Main","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Moselle-Saar (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Middle Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Lower Rhine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Rhine delta","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Ems - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Upper Ems, Ems-Nordradde, Hase","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Leda-Jümme, lower Ems, Ems-estuary","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Weser - RBD","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Werra","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Fulda-Diemel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Aller","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Leine","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Tide-Weser","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Elbe / Labe - RBD (DE)","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2001","Mulde-Elbe-Schwarze Elster","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
