TIME,RBD,UNIT,WW_TP,Value,Flag and Footnotes
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Urban wastewater collecting system,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Independent wastewater treatment - total,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Thousand,Resident population,959.32,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Urban wastewater collecting system,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Urban and other wastewater treatment plants - primary treatment,0,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Urban and other wastewater treatment plants - secondary treatment,10,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Urban and other wastewater treatment plants - tertiary treatment,0,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Independent wastewater treatment - total,0,
2000,Scheldt/Escaut - RBD (BE-Brussels),Percentage,Resident population,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Urban wastewater collecting system,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Independent wastewater treatment - total,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Thousand,Resident population,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Urban wastewater collecting system,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - primary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Independent wastewater treatment - total,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Percentage,Resident population,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Urban wastewater collecting system,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - primary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Percentage of resident population not connected to urban and other wastewater treatment plants,:,
2000,Maas/Meuse - RBD (BE-Flemish region),Thousand,Independent wastewater treatment - total,:,
