TIME,GEO,WW_TPAR,UNIT,WW_TP,Value,Flag and Footnotes
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - secondary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - secondary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Effluent BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Effluent BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - secondary treatment,:,
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Effluent BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Prov. Brabant Wallon,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
2000,Prov. Brabant Wallon,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Prov. Brabant Wallon,Design capacity BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Prov. Brabant Wallon,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
2000,Prov. Brabant Wallon,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - secondary treatment,:,
2000,Prov. Brabant Wallon,Incoming load BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - tertiary treatment,:,
2000,Prov. Brabant Wallon,Effluent BOD5,Tonnes of O2 per day,Urban and other wastewater treatment plants - primary treatment,:,
