"TIME","RBD","UNIT","WW_TPAR","WW_TP","Value","Flag and Footnotes"
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","0",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","1",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Bulgaria","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","10",""
"2000","Bulgaria","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","41",""
"2000","Bulgaria","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Danube - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","2",""
"2000","Danube - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","13",""
"2000","Danube - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Black Sea - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","7",""
"2000","Black Sea - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","16",""
"2000","Black Sea - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","East Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","0",""
"2000","East Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","7",""
"2000","East Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","West Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","1",""
"2000","West Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","5",""
"2000","West Aegean - RBD (BG)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Czech Republic","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Czech Republic","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Czech Republic","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Danube - RBD (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Danube - RBD (CZ)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
