"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2000","Belgium","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","52.1","e"
"2000","Belgium","Public water supply and self and other supply","Industry and construction","Million cubic metres","6,563.9","e"
"2000","Belgium","Public water supply and self and other supply","Services","Million cubic metres","398.4","e"
"2000","Belgium","Public water supply and self and other supply","Households","Million cubic metres","422.2","e"
"2000","Belgium","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","7,436.6","e"
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","0",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Industry and construction","Million cubic metres","4.09",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Services","Million cubic metres","12.4",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","Households","Million cubic metres","43.82",""
"2000","Scheldt/Escaut - RBD (BE-Brussels)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","61.47",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Schelde/Escaut - RBD (BE-Flemish region)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Maas/Meuse - RBD (BE-Flemish region)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Bulgaria","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","234.73",""
"2000","Bulgaria","Public water supply and self and other supply","Industry and construction","Million cubic metres","4,177.72",""
"2000","Bulgaria","Public water supply and self and other supply","Services","Million cubic metres","110.59",""
"2000","Bulgaria","Public water supply and self and other supply","Households","Million cubic metres","294.18",""
"2000","Bulgaria","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","4,817.21",""
"2000","Danube - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","28.62",""
"2000","Danube - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","3,421.24",""
"2000","Danube - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","53",""
"2000","Danube - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","151.99",""
"2000","Danube - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","3,654.86",""
"2000","Black Sea - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","14.31",""
"2000","Black Sea - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres","365.65",""
"2000","Black Sea - RBD","Public water supply and self and other supply","Services","Million cubic metres","21.64",""
"2000","Black Sea - RBD","Public water supply and self and other supply","Households","Million cubic metres","41.84",""
"2000","Black Sea - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","443.43",""
"2000","East Aegean - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","177.72",""
"2000","East Aegean - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","329.87",""
"2000","East Aegean - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","26.04",""
"2000","East Aegean - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","77.32",""
"2000","East Aegean - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","610.94",""
"2000","West Aegean - RBD (BG)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres","14.08",""
"2000","West Aegean - RBD (BG)","Public water supply and self and other supply","Industry and construction","Million cubic metres","60.96",""
"2000","West Aegean - RBD (BG)","Public water supply and self and other supply","Services","Million cubic metres","9.91",""
"2000","West Aegean - RBD (BG)","Public water supply and self and other supply","Households","Million cubic metres","23.03",""
"2000","West Aegean - RBD (BG)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres","107.98",""
"2000","Czech Republic","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Czech Republic","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Czech Republic","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Czech Republic","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Czech Republic","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Danube - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Dyje / Thaya","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Other tributaries of the Danube","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Morava / March (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Labe / Elbe - RBD (CZ)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Upper and middle Labe / Elbe (CZ)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
