"TIME","GEO","NACE_R2","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total - all NACE activities","Percentage","Population connected to public water supply (%)","100",""
"2009","Severozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.18",""
"2009","Severen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.2",""
"2009","Severoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.87",""
"2009","Yugoiztochen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","99.73",""
"2009","Yugozapaden","Total - all NACE activities","Percentage","Population connected to public water supply (%)","98.97",""
"2009","Yuzhen tsentralen","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97.61",""
"2009","Praha","Total - all NACE activities","Percentage","Population connected to public water supply (%)","101",""
"2009","Strední Cechy","Total - all NACE activities","Percentage","Population connected to public water supply (%)","79",""
"2009","Jihozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","86",""
"2009","Severozápad","Total - all NACE activities","Percentage","Population connected to public water supply (%)","96",""
"2009","Severovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","93",""
"2009","Jihovýchod","Total - all NACE activities","Percentage","Population connected to public water supply (%)","97",""
"2009","Strední Morava","Total - all NACE activities","Percentage","Population connected to public water supply (%)","88",""
"2009","Moravskoslezsko","Total - all NACE activities","Percentage","Population connected to public water supply (%)","101",""
"2009","Stuttgart","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Karlsruhe","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Freiburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Tübingen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Oberbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Niederbayern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Oberpfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Oberfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Mittelfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Unterfranken","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Schwaben","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Berlin","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Brandenburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Bremen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Hamburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Darmstadt","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Gießen","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Kassel","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Mecklenburg-Vorpommern","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Braunschweig","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Hannover","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Lüneburg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Weser-Ems","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Düsseldorf","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Köln","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Münster","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Detmold","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Arnsberg","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Koblenz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Trier","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Rheinhessen-Pfalz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Saarland","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Dresden","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
"2009","Chemnitz","Total - all NACE activities","Percentage","Population connected to public water supply (%)",":",""
