"TIME","GEO","WW_TPAR","UNIT","WW_TP","Value","Flag and Footnotes"
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Prov. Brabant Wallon","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Prov. Hainaut","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Prov. Liège","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Prov. Luxembourg (BE)","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Prov. Namur","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Bulgaria","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","30.73",""
"2009","Severozapaden","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","4.32",""
"2009","Severen tsentralen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.55",""
"2009","Severoiztochen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","23.36",""
"2009","Yugoiztochen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0",""
"2009","Yugozapaden","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","2.5",""
"2009","Yuzhen tsentralen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0",""
"2009","Czech Republic","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","3.32",""
"2009","Praha","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0",""
"2009","Strední Cechy","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.03",""
"2009","Jihozápad","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.16",""
"2009","Severozápad","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.17",""
"2009","Severovýchod","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","1.99",""
"2009","Jihovýchod","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.18",""
"2009","Strední Morava","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0",""
"2009","Moravskoslezsko","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment","0.79",""
"2009","Germany (until 1990 former territory of the FRG)","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Stuttgart","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Karlsruhe","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Freiburg","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Tübingen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Oberbayern","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Niederbayern","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Oberpfalz","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Oberfranken","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Mittelfranken","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Unterfranken","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Schwaben","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Berlin","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Brandenburg","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Bremen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Hamburg","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Darmstadt","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Gießen","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Kassel","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Mecklenburg-Vorpommern","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Braunschweig","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Hannover","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
"2009","Lüneburg","Design capacity BOD5","Tonnes of O2 per day","Urban and other wastewater treatment plants - primary treatment",":",""
