"TIME","GEO","UNIT","WW_TP","Value","Flag and Footnotes"
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Thousand","Urban wastewater collecting system",":",""
"2009","Prov. Antwerpen","Thousand","Urban wastewater collecting system",":",""
"2009","Prov. Limburg (BE)","Thousand","Urban wastewater collecting system",":",""
"2009","Prov. Oost-Vlaanderen","Thousand","Urban wastewater collecting system",":",""
"2009","Prov. Vlaams-Brabant","Thousand","Urban wastewater collecting system",":",""
"2009","Prov. West-Vlaanderen","Thousand","Urban wastewater collecting system",":",""
"2009","Bulgaria","Thousand","Urban wastewater collecting system",":",""
"2009","Severozapaden","Thousand","Urban wastewater collecting system",":",""
"2009","Severen tsentralen","Thousand","Urban wastewater collecting system",":",""
"2009","Severoiztochen","Thousand","Urban wastewater collecting system",":",""
"2009","Yugoiztochen","Thousand","Urban wastewater collecting system",":",""
"2009","Yugozapaden","Thousand","Urban wastewater collecting system",":",""
"2009","Yuzhen tsentralen","Thousand","Urban wastewater collecting system",":",""
"2009","Praha","Thousand","Urban wastewater collecting system",":",""
"2009","Strední Cechy","Thousand","Urban wastewater collecting system",":",""
"2009","Jihozápad","Thousand","Urban wastewater collecting system",":",""
"2009","Severozápad","Thousand","Urban wastewater collecting system",":",""
"2009","Severovýchod","Thousand","Urban wastewater collecting system",":",""
"2009","Jihovýchod","Thousand","Urban wastewater collecting system",":",""
"2009","Strední Morava","Thousand","Urban wastewater collecting system",":",""
"2009","Moravskoslezsko","Thousand","Urban wastewater collecting system",":",""
"2009","Stuttgart","Thousand","Urban wastewater collecting system",":",""
"2009","Karlsruhe","Thousand","Urban wastewater collecting system",":",""
"2009","Freiburg","Thousand","Urban wastewater collecting system",":",""
"2009","Tübingen","Thousand","Urban wastewater collecting system",":",""
"2009","Oberbayern","Thousand","Urban wastewater collecting system",":",""
"2009","Niederbayern","Thousand","Urban wastewater collecting system",":",""
"2009","Oberpfalz","Thousand","Urban wastewater collecting system",":",""
"2009","Oberfranken","Thousand","Urban wastewater collecting system",":",""
"2009","Mittelfranken","Thousand","Urban wastewater collecting system",":",""
"2009","Unterfranken","Thousand","Urban wastewater collecting system",":",""
"2009","Schwaben","Thousand","Urban wastewater collecting system",":",""
"2009","Berlin","Thousand","Urban wastewater collecting system",":",""
"2009","Brandenburg","Thousand","Urban wastewater collecting system",":",""
"2009","Bremen","Thousand","Urban wastewater collecting system",":",""
"2009","Hamburg","Thousand","Urban wastewater collecting system",":",""
"2009","Darmstadt","Thousand","Urban wastewater collecting system",":",""
"2009","Gießen","Thousand","Urban wastewater collecting system",":",""
"2009","Kassel","Thousand","Urban wastewater collecting system",":",""
"2009","Mecklenburg-Vorpommern","Thousand","Urban wastewater collecting system",":",""
"2009","Braunschweig","Thousand","Urban wastewater collecting system",":",""
"2009","Hannover","Thousand","Urban wastewater collecting system",":",""
"2009","Lüneburg","Thousand","Urban wastewater collecting system",":",""
"2009","Weser-Ems","Thousand","Urban wastewater collecting system",":",""
"2009","Düsseldorf","Thousand","Urban wastewater collecting system",":",""
"2009","Köln","Thousand","Urban wastewater collecting system",":",""
"2009","Münster","Thousand","Urban wastewater collecting system",":",""
"2009","Detmold","Thousand","Urban wastewater collecting system",":",""
"2009","Arnsberg","Thousand","Urban wastewater collecting system",":",""
"2009","Koblenz","Thousand","Urban wastewater collecting system",":",""
"2009","Trier","Thousand","Urban wastewater collecting system",":",""
"2009","Rheinhessen-Pfalz","Thousand","Urban wastewater collecting system",":",""
"2009","Saarland","Thousand","Urban wastewater collecting system",":",""
