"TIME","GEO","WW_GTD","SUBSTANCE","UNIT","Value","Flag and Footnotes"
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Bulgaria","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","15.81",""
"2009","Severozapaden","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0.48",""
"2009","Severen tsentralen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","2.88",""
"2009","Severoiztochen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0.34",""
"2009","Yugoiztochen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","1.17",""
"2009","Yugozapaden","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","6.25",""
"2009","Yuzhen tsentralen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","4.69",""
"2009","Czech Republic","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Praha","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Strední Cechy","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Jihozápad","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Severozápad","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Severovýchod","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Jihovýchod","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Strední Morava","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Moravskoslezsko","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Germany (until 1990 former territory of the FRG)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Stuttgart","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Karlsruhe","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Freiburg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Tübingen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Oberbayern","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Niederbayern","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Oberpfalz","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Oberfranken","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Mittelfranken","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Unterfranken","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Schwaben","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Berlin","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Brandenburg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Bremen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Hamburg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Darmstadt","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Gießen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Kassel","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Mecklenburg-Vorpommern","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Braunschweig","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Hannover","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Lüneburg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Weser-Ems","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Düsseldorf","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Köln","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Münster","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Detmold","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Arnsberg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Koblenz","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Trier","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Rheinhessen-Pfalz","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Saarland","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Dresden","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Chemnitz","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Leipzig","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Sachsen-Anhalt","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Schleswig-Holstein","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Thüringen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Estonia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","293.5",""
"2009","Eesti","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Kentriki Makedonia (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Dytiki Makedonia (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Thessalia (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Ipeiros (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Ionia Nisia (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Dytiki Ellada (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Sterea Ellada (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Peloponnisos (NUTS 2010)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Attiki","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Voreio Aigaio","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Notio Aigaio","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Kriti","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Croatia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","2.18",""
"2009","Jadranska Hrvatska","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","1.54",""
"2009","Kontinentalna Hrvatska","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0.64",""
"2009","Italy","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Piemonte","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Valle d'Aosta/Vallée d'Aoste","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Liguria","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Lombardia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Provincia Autonoma di Bolzano/Bozen","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Provincia Autonoma di Trento","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Veneto","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Friuli-Venezia Giulia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Emilia-Romagna","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Toscana","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Umbria","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Marche","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Lazio","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Abruzzo","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Molise","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Campania","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Puglia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Basilicata","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Calabria","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Sicilia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Sardegna","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Cyprus","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Kypros","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Latvia","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Latvija","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","5.99",""
"2009","Lithuania","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Lietuva (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Malta","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Austria","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Burgenland (AT)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Niederösterreich","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Wien","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Kärnten","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Steiermark","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Oberösterreich","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Salzburg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Tirol","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Vorarlberg","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Poland","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","295.3",""
"2009","Lódzkie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","4.9",""
"2009","Mazowieckie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Malopolskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","19.7",""
"2009","Slaskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","153.3",""
"2009","Lubelskie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","5.1",""
"2009","Podkarpackie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Swietokrzyskie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","1.3",""
"2009","Podlaskie (NUTS 2013)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Wielkopolskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","72.6",""
"2009","Zachodniopomorskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Lubuskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Dolnoslaskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","25.2",""
"2009","Opolskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","13.2",""
"2009","Kujawsko-Pomorskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Warminsko-Mazurskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Pomorskie","Generation of wastewater - mining and quarrying","Volume","Million cubic metres","0",""
"2009","Portugal","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Norte","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Algarve","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Centro (PT)","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Área Metropolitana de Lisboa","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
"2009","Alentejo","Generation of wastewater - mining and quarrying","Volume","Million cubic metres",":",""
